"",".metric",".estimator",".estimate"
"1","accuracy","multiclass",0.982608695652174
"2","kap","multiclass",0.975190565223644
"3","sens","macro",0.984699805321997
"4","spec","macro",0.993852164849582
"5","ppv","macro",0.98036030658184
"6","npv","macro",0.993442227906775
"7","mcc","multiclass",0.975206003684602
"8","j_index","macro",0.978551970171579
"9","bal_accuracy","macro",0.98927598508579
"10","detection_prevalence","macro",0.25
"11","precision","macro",0.98036030658184
"12","recall","macro",0.984699805321997
"13","f_meas","macro",0.982498064341145
