"X","Y"
163,"AFF3"
163,"AGAP1"
163,"ALOX5"
163,"APOE"
163,"AR"
163,"AREG"
163,"ARHGAP11A"
163,"ARHGAP42"
163,"ASPM"
163,"CCZ1B"
163,"CD24"
163,"CD33"
163,"CELSR2"
163,"CLTCL1"
163,"CSPG4"
163,"DDX11"
163,"DDX12P"
163,"DEFA4"
163,"EBF1"
163,"ECHDC3"
163,"FAM153A"
163,"FAM156A"
163,"FAM72A"
163,"FAM72B"
163,"FAM72D"
163,"FCGR1A"
163,"FCGR2C"
163,"FCGR3B"
163,"FKBP9"
163,"FXYD2"
163,"FZD8"
163,"GADD45G"
163,"GRAPL"
163,"GTF2H2C"
163,"GTF2I"
163,"GTF2IRD2"
163,"GYPA"
163,"GYPB"
163,"HERC2"
163,"HIC2"
163,"HR"
163,"KIF18A"
163,"KIF26B"
163,"LCT"
163,"LRRC37A"
163,"LRRC37A3"
163,"MRC1"
163,"MSI2"
163,"MST1"
163,"MYO7B"
163,"NBEA"
163,"NBPF1"
163,"NBPF10"
163,"NBPF14"
163,"NCF1"
163,"NCF1C"
163,"NEK2"
163,"NLGN4X"
163,"NOMO3"
163,"NRXN3"
163,"NUDT4"
163,"OBSCN"
163,"OPHN1"
163,"OR4F17"
163,"PCDHB13"
163,"PCDHB14"
163,"PI4KA"
163,"PI4KAP2"
163,"PKD1"
163,"PLEKHM1"
163,"RANBP2"
163,"RGPD2"
163,"RGPD3"
163,"RIBC2"
163,"RNASE3"
163,"SDHAP1"
163,"SH3PXD2A"
163,"SLC29A4"
163,"SLC4A1"
163,"SNORA12"
163,"SPAG5"
163,"SPPL2B"
163,"STAG3"
163,"STAG3L1"
163,"TBC1D8B"
163,"TCF7L2"
163,"TMEM183A"
163,"TMEM236"
163,"WASH2P"
163,"ZNF492"
163,"ZNF850"
